,strain,id,flavors,positive,medical,Type,Rating,Flavor
1182,Romulan,1737,"Earthy, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Headaches, Muscle Spasms",indica,4.2,"Earthy,Sweet,Pine"
1183,Romulan Grapefruit,1738,"Grapefruit, Lemon, Lime","Relaxed, Creative, Tingly, Sleepy, Focused","Insomnia, Pain, Stress, Nausea, Headache, Inflammation",hybrid,4.3,"Grapefruit,Citrus,Sweet"
1184,Romulan Haze,1739,"Pungent, Citrus, Skunk","Relaxed, Euphoric, Energetic, Focused","Depression, Pain, Stress, Fatigue, Eye Pressure",hybrid,4.5,"Pungent,Citrus,Sweet"
1185,Root Beer Kush,1740,"Sweet, Vanilla, Pungent","Relaxed, Happy, Energetic, Uplifted, Giggly","Pain, Stress, Nausea, Fatigue, Eye Pressure",sativa,3.8,"Sweet,Vanilla,Pungent"
1186,Rose Bud,1741,"Rose, Flowery, Sweet","Relaxed, Euphoric, Creative, Uplifted, Focused","Depression, Pain, Stress, Inflammation, Muscle Spasms",indica,4.2,"Rose,Flowery,Sweet"
1187,Royal Chemdawg,1742,"Citrus, Diesel, Chemical","Relaxed, Happy, Uplifted, Sleepy, Giggly","Depression, Insomnia, Stress, Fatigue, Headaches",hybrid,4.3,"Diesel,Citrus,Strawberry"
1188,Royal Dwarf,1743,"Skunk, Honey, Lemon","Relaxed, Hungry, Happy, Tingly","Depression, Pain, Stress, Eye Pressure, Muscle Spasms",hybrid,4.4,"Skunk,Honey,Lemon"
1189,Royal Haze,1744,"Skunk, Citrus, Tropical","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,4.6,"Citrus,Tropical,Skunk"
1190,Royal Highness,1745,"Flowery, Woody, Coffee","Hungry, Happy, Talkative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.8,"Flowery,Earthy,Cheese"
1191,Royal Kush,1746,"Earthy, Skunk, Pine","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Headaches, Muscle Spasms",hybrid,4.2,"Woody,Earthy,Skunk"
1192,Rubicon,1747,"Flowery, Earthy, Lavender","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.5,"Earthy,Pungent,Grapefruit"
1193,Russian Assassin,1750,"Diesel, Skunk, Ammonia","Relaxed, Happy, Tingly, Sleepy, Focused","Insomnia, Pain, Stress, Lack of Appetite, Nausea",indica,4.9,"Diesel,Skunk,Ammonia"
1194,Russian Rocket Fuel,1751,"Spicy/Herbal, Diesel, Menthol","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Lack of Appetite, Nausea, Eye Pressure",hybrid,4.1,"Spicy/Herbal,Menthol,Diesel"
1195,Sage N Sour,1756,"Sage, Diesel, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,4.2,"Sage,Earthy,Spicy/Herbal"
1196,Santa Maria,1758,"Earthy, Sweet, Woody","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Pain, Fatigue, Inflammation, Muscle Spasms",sativa,4.4,"Earthy,Sweet,Woody"
1197,Santa Sativa,1759,"Blueberry, Earthy, Lavender","Creative, Aroused","Pain, Stress, Lack of Appetite, Nausea, Spasticity",sativa,4.3,"Blueberry,Berry,Flowery"
1198,Sapphire Scout,1760,"Berry, Blueberry, Sweet","Relaxed, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Headaches, Inflammation",hybrid,4.6,"Sweet,Berry,Blueberry"
1199,Sapphire Star,1761,"Grapefruit, Sweet, Berry","Relaxed, Happy, Uplifted, Sleepy, Focused","Depression, Stress, Lack of Appetite, Headaches, Eye Pressure",hybrid,4.5,"Grapefruit,Lemon,Sweet"
1200,Sasquatch Sap,1762,"Diesel, Coffee, Earthy","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Lack of Appetite, Fatigue, Inflammation",hybrid,4.8,"Diesel,Coffee,Earthy"
1201,Satori,1764,"Earthy, Pine, Chemical","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.1,"Mango,Earthy,Pine"
1202,Schrom,1768,"Lemon, Citrus, Pine","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Headache, Eye Pressure, Muscle Spasms",sativa,4.3,"Lemon,Citrus,Lime"
1203,Seattle Blue,1772,"Flowery, Sweet, Berry","Relaxed, Hungry, Euphoric, Creative, Talkative","Depression, Insomnia, Pain, Lack of Appetite, Headaches",indica,4.5,"Sweet,Blueberry,Pungent"
1204,Seattle Cough,1773,"Sweet, Pine, Citrus","Euphoric, Happy, Creative, Talkative, Uplifted","Depression, Stress, Fatigue, Headaches, Inflammation",sativa,4.7,"Pine,Citrus,Grapefruit"
1205,Secret Recipe,1775,"Diesel, Citrus, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Cramps, Muscle Spasms",hybrid,4.3,"Sweet,Earthy,Pine"
1206,Sensi Skunk,1776,"Citrus, Earthy, Pine","Relaxed, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.4,"Earthy,Skunk,Citrus"
1207,Sensi Star,1777,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.1,"Earthy,Pungent,Sweet"
1208,Sequoia Strawberry,1778,"Sweet, Earthy, Strawberry","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Inflammation",sativa,4.4,"Strawberry,Sweet,Pine"
1209,Serious 6,1779,"Citrus, Lemon, Tropical","Hungry, Happy, Creative, Energetic, Focused","Depression, Stress, Fatigue, Eye Pressure, Inflammation",sativa,3.8,"Spicy/Herbal,Citrus,Lemon"
1210,Sexxpot,1780,"Flowery, Tropical, Skunk","Relaxed, Hungry, Creative, Uplifted","Pain, Lack of Appetite, Fatigue, Spasticity, Muscle Spasms",indica,4.1,"Pungent,Tropical,Flowery"
1211,Shaman,1781,"Sweet, Lemon, Earthy","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Stress, Nausea, Headache, Fatigue, Headaches",sativa,4.2,"Sweet,Lemon,Flowery"
1212,Shark Attack,1783,"Earthy, Pungent, Skunk","Hungry, Happy, Focused","Insomnia, Pain, Stress, Cramps, Inflammation",indica,4.2,"Earthy,Pungent,Skunk"
1213,Shark Bite,1784,"Pungent, Sweet, Tropical","Relaxed, Euphoric, Energetic, Uplifted","Depression, Insomnia, Stress",hybrid,4.1,"Tropical,Pungent,Sweet"
1214,Shark Shock,1785,"Woody, Pine, Spicy/Herbal","Relaxed, Euphoric, Happy, Focused","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms",indica,4.2,"Earthy,Woody,Spicy/Herbal"
1215,Shiatsu Kush,1787,"Earthy, Spicy/Herbal, Pungent","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.4,"Sweet,Tropical,Mango"
1216,Shipwreck,1789,"Pine, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.5,"Sweet,Pine,Earthy"
1217,Shishkaberry,1790,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Pain, Stress, Nausea, Headaches, Eye Pressure",indica,4.3,"Berry,Blueberry,Sweet"
1218,Shiskaquine,1791,"Berry, Citrus, Pine","Relaxed, Euphoric, Happy, Energetic, Uplifted","Pain, Stress, Headaches, Eye Pressure",hybrid,4.6,"Sweet,Earthy,Berry"
1219,Shiva Skunk,1792,"Skunk, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Pain, Stress, Lack of Appetite, Headache, Headaches, Muscle Spasms",indica,4.2,"Skunk,Earthy,Pine"
1220,Shoreline,1793,"Skunk, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Giggly","Pain, Stress, Nausea, Headache, Fatigue, Muscle Spasms",hybrid,4.4,"Skunk,Spicy/Herbal,Sweet"
1221,Sierra Mist,1795,"Citrus, Sweet, Butter","Relaxed, Euphoric, Happy, Creative, Giggly","Pain, Stress, Cramps, Nausea, Headaches",hybrid,4.7,"Citrus,Sweet,Diesel"
1222,Silver Back,1796,"Citrus, Earthy, Tropical","Euphoric, Happy, Talkative, Uplifted, Aroused","Depression, Insomnia, Stress, Lack of Appetite, Nausea",hybrid,4.0,"Citrus,Tropical,Earthy"
1223,Silver Bubble,1797,"Sweet, Citrus, Pungent","Relaxed, Happy, Uplifted, Sleepy, Focused","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",hybrid,4.5,"Sweet,Woody,Berry"
1224,Silver Haze,1799,"Earthy, Sweet, Woody","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",sativa,4.2,"Earthy,Sweet,Pungent"
1225,Silver Kush,1800,"Citrus, Earthy, Pungent","Relaxed, Happy, Creative, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.4,"Earthy,Chemical,Citrus"
1226,Silver Pearl,1802,"Citrus, Skunk, Pungent","Energetic, Uplifted, Tingly","Insomnia, Pain, Stress, Headache, Fatigue, Eye Pressure",hybrid,4.3,"Skunk,Pine,Mango"
1227,Silver Surfer,1803,"Sweet, Woody, Earthy","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.3,"Citrus,Lime,Lemon"
1228,Silver Train,1804,"Pine, Sweet, Pungent","Euphoric, Creative, Energetic, Focused, Aroused","Depression, Pain, Stress, Inflammation",sativa,4.7,"Pine,Lemon,Spicy/Herbal"
1229,Silverback Gorilla,1805,"Pungent, Flowery, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.5,"Earthy,Pine,Sweet"
1230,Silverfalls Kush,1806,"Sweet, Berry, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Giggly","Insomnia, Pain, Stress, Cramps, Inflammation",hybrid,4.8,"Sweet,Spicy/Herbal,Strawberry"
1231,Sin City Kush,1808,"Grape, Pine, Nutty","Relaxed, Euphoric, Uplifted, Tingly, Giggly","Depression, Insomnia, Stress, Eye Pressure, Muscle Spasms",indica,4.9,"Grape,Pine,Nutty"
1232,Sirius Black,1812,"Grape, Berry, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.6,"Grape,Sweet,Pepper"
1233,Six Shooter,1813,"Skunk, Sweet, Citrus","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.6,"Sweet,Skunk,Citrus"
1234,Skins Skunk,1814,"Lemon, Strawberry, Sweet","Relaxed, Hungry, Euphoric, Happy, Giggly","Depression, Pain, Stress, Cramps, Muscle Spasms",hybrid,5.0,"Lemon,Sweet,Strawberry"
1235,Skunk 47,1815,"Chemical, Earthy, Skunk","Relaxed, Happy, Uplifted","Depression, Pain, Stress, Cramps, Nausea",indica,4.3,"Earthy,Skunk,Berry"
1236,Skunk Dawg,1816,"Skunk, Diesel, Sweet","Relaxed, Happy, Creative, Uplifted, Focused","Pain, Stress, Nausea, Headaches, Inflammation",sativa,4.4,"Skunk,Pungent,Earthy"
1237,Skunk Haze,1817,"Woody, Earthy, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Focused","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.1,"Earthy,Woody,Skunk"
1238,Star Killer,1820,"Earthy, Lemon, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.5,"Earthy,Lemon,Pungent"
1239,Star Master Kush,1821,"Skunk, Pine, Earthy","Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.7,"Skunk,Pine,Earthy"
1240,Star Tonic,1822,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.7,"Citrus,Sweet,Lemon"
1241,Stardawg,1824,"Diesel, Earthy, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.5,"Diesel,Pungent,Earthy"
1242,Stardawg Guava,1825,"Tropical, Sweet, Chemical","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.6,"Tropical,Sweet,Pungent"
1243,Starfighter,1826,"Pine, Woody, Pungent","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Stress, Lack of Appetite, Nausea, Fatigue",hybrid,4.1,"Pine,Pungent,Woody"
1244,Starry Night,1827,"Pungent, Berry, Blue Cheese","Euphoric, Happy, Creative, Tingly, Focused","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.6,"Berry,Earthy,Pungent"
1245,Stella Blue,1828,"Flowery, Sweet, Tree Fruit","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.6,"Sweet,Flowery,Berry"
1246,Stephen Hawking Kush,1829,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Tingly, Focused","Pain, Stress, Nausea, Headache, Inflammation, Muscle Spasms",indica,4.6,"Earthy,Woody,Berry"
1247,Stevie Wonder,1830,"Orange, Pepper, Woody","Happy, Energetic, Uplifted, Tingly, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.6,"Earthy,Pine,Orange"
1248,Strawberry,1832,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.4,"Strawberry,Sweet,Flowery"
1249,Strawberry Amnesia,1833,"Strawberry, Earthy, Pine","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Stress, Headache, Fatigue, Headaches, Eye Pressure",sativa,4.5,"Strawberry,Sweet,Earthy"
1250,Strawberry Banana,1834,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.5,"Strawberry,Sweet,Berry"
1251,Strawberry Blondie,1835,"Strawberry, Sweet, Pungent","Euphoric, Happy, Creative, Energetic","Depression, Stress, Lack of Appetite, Fatigue, Eye Pressure",hybrid,4.9,"Strawberry,Sweet,Earthy"
1252,Strawberry Blue,1836,"Strawberry, Sweet, Berry","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Nausea",sativa,4.2,"Strawberry,Sweet,Berry"
1253,Strawberry Cheesecake,1837,"Sweet, Strawberry, Flowery","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",indica,4.4,"Strawberry,Sweet,Cheese"
1254,Strawberry Cough,1838,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.3,"Strawberry,Sweet,Berry"
1255,Strawberry Diesel,1839,"Strawberry, Diesel, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.3,"Diesel,Strawberry,Sweet"
1256,Strawberry Dream,1840,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea",hybrid,4.4,"Strawberry,Sweet,Berry"
1257,Strawberry Durban Diesel,1841,"Strawberry, Earthy, Diesel","Creative, Energetic, Talkative, Uplifted, Aroused","Depression, Stress",sativa,4.4,"Strawberry,Earthy,Diesel"
1258,Strawberry Fields,1842,"Strawberry, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.6,"Strawberry,Sweet,Berry"
1259,Strawberry Frost,1843,"Strawberry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Aroused","Depression, Pain, Stress, Cramps, Headaches",indica,5.0,"Sweet,Strawberry,Earthy"
1260,Strawberry Ice,1844,"Sweet, Strawberry, Berry","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.8,"Strawberry,Sweet,Berry"
1261,Strawberry Kush,1845,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.2,"Strawberry,Sweet,Pungent"
1262,Strawberry Lemonade,1846,"Lemon, Strawberry, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.3,"Strawberry,Lemon,Berry"
1263,Strawberry Mango Haze,1847,"Mango, Strawberry, Sweet","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.6,"Strawberry,Sweet,Mango"
1264,Strawberry Milkshake,1848,"Strawberry, Sweet, Earthy","Relaxed, Happy, Uplifted, Sleepy","Depression, Insomnia, Stress, Fatigue, Headaches",hybrid,4.4,"Sweet,Strawberry,Berry"
1265,Strawberry Satori,1850,"Strawberry, Sweet, Earthy","Happy, Creative, Energetic, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Fatigue",sativa,4.5,"Strawberry,Berry,Pungent"
1266,Sublime,1851,"Earthy, Flowery, Spicy/Herbal","Happy, Creative, Energetic, Uplifted, Focused","Pain, Stress, Lack of Appetite, Nausea, Headache, Fatigue",sativa,4.2,"Flowery,Pine,Earthy"
1267,Sugar Black Rose,1852,"Sweet, Rose, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.5,"Rose,Sweet,Flowery"
1268,Sugar Cookie,1853,"Sweet, Earthy, Pine","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.3,"Sweet,Earthy,Tar"
1269,Sugar Kush,1854,"Sweet, Earthy, Chemical","Relaxed, Hungry, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,4.1,"Sweet,Woody,Pine"
1270,Sugar Mama,1855,"Sweet, Citrus, Pungent","Relaxed, Euphoric, Happy, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Fatigue",indica,4.8,"Sweet,Tropical,Blueberry"
1271,Sugar Plum,1857,"Sweet, Berry, Lavender","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Stress, Lack of Appetite, Nausea, Headache, Inflammation",sativa,4.5,"Sweet,Plum,Tropical"
1272,Sugar Punch,1858,"Skunk, Sweet, Pine","Hungry, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.8,"Skunk,Sweet,Woody"
1273,Sugar Shack,1859,"Earthy, Pine, Sweet","Relaxed, Happy, Creative, Energetic, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.6,"Earthy,Pine,Sweet"
1274,Suicide Girl,1860,"Citrus, Sweet, Violet","Relaxed, Euphoric, Happy, Creative, Talkative",Fatigue,hybrid,4.8,"Violet,Sweet,Citrus"
1275,Summertime Squeeze,1861,"Tea, Earthy, Flowery","Happy, Creative, Talkative, Giggly",Fatigue,sativa,4.9,"Tea,Earthy,Spicy/Herbal"
1276,Sumo Grande,1862,Citrus,"Hungry, Creative, Focused, Aroused","Depression, Stress, Lack of Appetite, Fatigue",sativa,4.5,"Citrus,Sweet,Pine"
1277,Sun Ra,1864,"Citrus, Earthy, Sweet","Hungry, Euphoric, Happy, Focused","Insomnia, Stress, Lack of Appetite",sativa,4.7,"Citrus,Sweet,Earthy"
1278,Sunburn,1865,"Citrus, Earthy, Sweet","Relaxed, Happy, Creative, Energetic, Uplifted","Pain, Stress, Headache, Fatigue, Inflammation, Muscle Spasms",sativa,4.6,"Citrus,Earthy,Sweet"
1279,Sunset Haze,1867,"Citrus, Flowery, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.2,"Sweet,Citrus,Flowery"
1280,Sunshine,1869,"Citrus, Sweet, Tropical","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Eye Pressure",sativa,4.7,"Citrus,Sweet,Tea"
1281,Sunshine Daydream,1871,"Blueberry, Skunk, Berry","Relaxed, Euphoric, Happy, Creative","Depression, Pain, Nausea, Headaches, Inflammation",indica,4.4,"Pungent,Diesel,Flowery"
1282,Supa Don,1872,"Apricot, Flowery, Spicy/Herbal","Happy, Creative, Energetic, Uplifted, Focused","Depression, Insomnia, Stress, Fatigue, Headaches",sativa,4.5,"Spicy/Herbal,Sweet,Apricot"
1283,Super Blue Dream,1874,"Blueberry, Sweet, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Headache, Fatigue",hybrid,4.3,"Sweet,Blueberry,Tea"
1284,Super Bud,1875,"Citrus, Mint, Flowery","Relaxed, Happy, Creative, Sleepy, Giggly","Insomnia, Pain, Stress, Lack of Appetite, Eye Pressure",indica,4.1,"Citrus,Mint,Flowery"
1285,Super Cat Piss,1876,"Coffee, Lemon","Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Stress, Nausea",sativa,4.0,"Coffee,Lemon"
1286,Super Cheese,1877,"Cheese, Blue Cheese, Earthy","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",indica,4.5,"Cheese,Blue,Cheese,Earthy"
1288,Super Green Crack,1879,"Citrus, Pungent, Earthy","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.5,"Earthy,Flowery,Pungent"
1289,Super Jack,1880,"Sweet, Earthy, Pungent","Happy, Energetic, Talkative, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",sativa,4.5,"Sweet,Pungent,Skunk"
1290,Super Kush,1881,"Earthy, Pine, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.2,"Earthy,Minty,Flowery"
1291,Super Lemon Haze,1882,"Lemon, Citrus, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.4,"Lemon,Citrus,Sweet"
1292,Super Silver Haze,1884,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.4,"Citrus,Earthy,Sweet"
1293,Super Silver Lights,1885,"Flowery, Sweet, Pungent","Euphoric, Happy, Creative, Uplifted, Giggly","Depression, Headaches, Inflammation, Muscle Spasms",hybrid,4.5,"Flowery,Sweet,Pungent"
1294,Super Skunk,1886,"Skunk, Earthy, Sweet","Relaxed, Hungry, Euphoric, Happy, Creative","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.2,"Skunk,Earthy,Sweet"
1295,Super Snow Dog,1887,"Citrus, Sweet, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.5,"Citrus,Flowery,Earthy"
1296,Super Sour Diesel,1888,"Diesel, Earthy, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.5,"Diesel,Sweet,Earthy"
1297,Super Sour Skunk,1890,"Sweet, Honey, Tropical","Euphoric, Happy, Creative, Energetic, Tingly","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.5,"Citrus,Earthy,Diesel"
1298,Super Sour Widow,1891,"Pungent, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.7,"Pungent,Spicy/Herbal,Earthy"
1299,Super Sweet,1892,"Sweet, Honey, Berry","Euphoric, Happy, Creative, Talkative, Giggly","Depression, Stress, Cramps, Fatigue, Inflammation",hybrid,4.8,"Sweet,Honey,Berry"
1300,Supergirl,1893,"Earthy, Woody, Spicy/Herbal","Relaxed, Euphoric, Happy, Sleepy, Giggly","Depression, Pain, Stress, Nausea, Fatigue",indica,4.5,"Earthy,Woody,Spicy/Herbal"
1301,Superglue,1894,"Pungent, Pine, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.7,"Earthy,Woody,Pine"
1302,Supernatural,1897,"Citrus, Earthy, Spicy/Herbal","Relaxed, Euphoric, Energetic, Focused, Aroused","Stress, Lack of Appetite, Fatigue, Headaches, Eye Pressure",sativa,4.4,"Earthy,Citrus,Flowery"
1303,Supernova,1898,"Pungent, Tropical, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.3,"Sweet,Pungent,Flowery"
1304,Superstar,1899,"Flowery, Earthy, Citrus","Relaxed, Euphoric","Depression, Pain, Stress, Fatigue, Muscle Spasms",hybrid,4.0,"Citrus,Blueberry,Strawberry"
1305,Suzy Q,1900,"Pine, Minty, Earthy","Relaxed, Hungry, Uplifted, Sleepy, Focused","Pain, Stress, Nausea, Headaches, Muscle Spasms",hybrid,4.3,"Pine,Earthy,Spicy/Herbal"
1306,Swazi Gold,1901,"Earthy, Woody, Pine","Hungry, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",sativa,3.7,"Woody,Citrus,Earthy"
1307,Sweet Baby Jane,1902,"Citrus, Pine, Sweet","Relaxed, Happy, Talkative, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.3,"Citrus,Sweet,Pungent"
1308,Sweet Berry,1903,"Berry, Sweet, Blueberry","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Stress, Fatigue, Spasticity",hybrid,4.2,"Berry,Sweet,Sage"
1309,Sweet Black Angel,1904,"Sweet, Berry, Pine","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Pain, Stress, Lack of Appetite, Nausea",indica,4.7,"Sweet,Pine,Berry"
1310,Sweet Cheese,1905,"Cheese, Sweet, Chemical","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",sativa,4.3,"Cheese,Sweet,Pungent"
1311,Sweet Deep Grapefruit,1906,"Grapefruit, Citrus, Grape","Relaxed, Hungry, Euphoric, Sleepy","Insomnia, Pain, Stress, Inflammation, Muscle Spasms",indica,4.0,"Grapefruit,Citrus,Sweet"
1312,Sweet Diesel,1907,"Woody, Sweet, Diesel","Relaxed, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Headaches",sativa,4.1,"Woody,Sweet,Diesel"
1313,Sweet Dream,1908,"Berry, Pungent, Earthy","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Stress, Cramps, Fatigue, Headaches",hybrid,4.6,"Berry,Earthy,Pungent"
