,strain,id,flavors,positive,medical,Type,Rating,Flavor
119,Black Diesel,272,"Diesel, Pungent, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",sativa,4.1,"Diesel,Pungent,Earthy"
120,Black Domina,273,"Pepper, Spicy/Herbal, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.2,"Pepper,Pine,Woody"
121,Black Haze,274,"Earthy, Pine, Flowery","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headache, Headaches",hybrid,4.4,"Earthy,Pine,Flowery"
122,Black Ice,275,"Earthy, Woody, Pine","Relaxed, Hungry, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",indica,4.1,"Earthy,Citrus,Sweet"
123,Black Jack,276,"Sweet, Pine, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.4,"Earthy,Sweet,Pine"
124,Black Label Kush,277,"Woody, Berry, Citrus","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.1,"Woody,Berry,Earthy"
125,Black Lime Special Reserve,278,"Lime, Citrus, Sweet","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.5,"Lime,Pepper,Citrus"
126,Black Magic,279,Earthy,"Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Inflammation",hybrid,4.0,Earthy
127,Black Magic Kush,280,"Berry, Earthy, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Stress, Cramps, Lack of Appetite",indica,4.2,"Earthy,Berry,Woody"
128,Black Mamba,281,"Sweet, Woody, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.6,"Sweet,Grape,Woody"
